1889 cat #,Title,Artist,creation date,creation place,NB entry date,NB entry place,post NB 1 date,post NB 1 place,post NB 2 date,post NB place 2
238,Velasquez,Philip IV on Horseback,1650,Spain,1856-05-02,"London, England",1947,"Courtauld Institute of Art, London, England",,
239,Velasquez (attributed to),Fish,1645,Spain,1843,"London, England",1919-12,,,
240,Zurbaran (Francesco de),St. Francis in Meditation,1645,Spain,1853-05-13,"London, England",1940,"New York, NY",1941,"Princeton, NJ"
241,Franois Boucher,Cupids,1750,"Paris, France",1858,"London, England",x,,,
242,Franois Boucher,Cupids,1750,"Paris, France",1858,"London, England",x,,,
243,Jacques Callot,Gipsies Removing,1630,"Nancy, France",1846-06-04,"London, England",x,,,
244,Claude Lorrain,Landscape with Jacob and Laban and His Daughters,1659,"Rome, Italy",1848,"London, England",1950,"Hexham, Northumberland, England",1976-02,"Pasadena, CA"
245,Claude Lorrain,A Shepherd Teaching a Shepherdess to Play on the Pipe,1650,"Rome, Italy",1839,"London, England",1930-09,"New York, NY",1931,"Kansas City, MO"
246,Claude Lorrain,A Shepherd Playing on a Pipe,1667,"Rome, Italy",1841,"London, England",1930-09,"New York, NY",1931,"Kansas City, MO"
247,Claude Lorrain,A Waterfall,1640,"Rome, Italy",1851,"London, England",x,,,
248,Claude Lorrain,The Artist Studying from Nature,1639,"Rome, Italy",1838,"London, England",1932,"New York, NY",1932,"Cincinnati, OH"
249,Claude Lorrain,Claude's Favourite Mill,1660,"Rome, Italy",1840,"London, England",x,,,
250,Claude Lorrain,Ascanius Shooting at Silvia's Stag,1682,"Rome, Italy",1837,"London, England",1919-12,"London, England",1926,"Oxford, England"
251,Claude GillŽe (ascribed to),Landscape with Figures,1680,"Rome, Italy",1840,"London, England",x,,,
252,Gaspar Dughet,Landscape,1665,"Rome, Italy",1838,"London, England",x,,,
253,Gaspar Dughet,Landscape with Figures,1660,"Rome, Italy",1840,"London, England",x,,,
254,Gaspar Dughet,The Arch,1670,"Rome, Italy",1849,"London, England",1939-11,"Pittsburgh, PA",,
255,Gaspar Dughet,Landscape,1640,"Rome, Italy",1838,"London, England",x,,,
256,Jean Baptiste Greuze,Head of a Girl,1760,"Paris, France",1859,"London, England",1962,"Rome, Italy",,
257,School of Greuze,Head of a Girl,1770,"Paris, France",1854,"London, England",x,,,
258,Pierre Mignard,Madame de la Vallire,1665,"Paris, France",1855-03-10,"London, England",x,,,
259,Clement Moreau,Supper Party,1176,"Paris, France",1866,"London, England",x,,,
260,Claud Joseph Vernet,View Near Naples,1740,"Paris, France",1795,"London, England",1919-12,,,
261,Claud Joseph Vernet,Bal®,1740,"Paris, France",1795,"London, England",1919-12,,,
262,Pierre Alexandre Wille,Dedicace d'un po‘me epique,1780,"Paris, France",1850,"London, England",x,,,
,Francesco Benaglio,Saint Jerome,1473,"Verona, Italy",1799,"London, England",1805,"Liverpool, England",1952,"Washington, D.C."
,Raphael,Madonna Della TendA,1514,"Rome, Italy",1813,"London, England",1814,"Munich, Germany",,
,Watteau,Italian Comedians,1720,"London, England",1853,"London, England",1888,"Dublin, Ireland",1946,"Washington, D.C."
,workshop of Rubens,Diana and her nymphs,1615,"Antwerp, Belgium",1857,"London, England",1889,"Ferrires, France",1959,"Cleveland, OH"
,Watteau,"Pierrot, Harlequin and Scapin",1719,"Paris, France",1856-05-03,"London, England",1889,"Frankfurt, Germany",1935,"Aylesbury, Buckinghamshire, England"
,Watteau,Perfect Accord,1719,"Paris, France",1820,"London, England",1892,"Hampstead, London, England",1998,"Los Angeles, CA"
,Apollonio di Giovanni,Adventures of Ulysses,1440,"Florence, Italy",1886,"London, England",1895,"Munich, Germany",1911,"Chicago, IL"
,after Guercino,Virgin and Child with Saints,1630,"Bologna, Italy",1838,"London, England",1898,"Dublin, Ireland",,
,Mulready,Bathers Surprised,1852,"London, England",1878,"London, England",1911,"Dublin, Ireland",,
,Benjamin West,Belisarius and the Boy,1802,"London, England",1802,"London, England",1913,"Detroit, MI",,
,follower of Hans Memling,Virgin and Child,1487,"Bruges, West Flanders, Belgium",1899,"London, England",1919,"Helensburgh, Scotland",1937,"New York, NY"
,Gerrit Dou,Young Lady Playing ,1663,"Leiden, Netherlands",1880,"London, England",1927,"New York, NY",2014,"Washington, D.C."
,Tisi,Madonna and Child in Glory,1535,"Ferrara, Italy",1825,"London, England",1929,"New York, NY",1961,"Coral Gables, FL"
,Bernaert van Orley,Madonna and Child,1523,"Brussels, Belgium ",1898,"London, England",1930,"Surrey, England",,
,Peters,Much Ado About Nothing,1788,"London, England",1805,"London, England",1933,"New York, NY",1933-05,"Pittsburgh, PA"
,Joshua Reynolds,Lady Fenhoulet,1760,"London, England",1845,"London, England",1938,"New York, NY",1946,"Pittsburgh, PA"
,Rubens,The Rape of the Sabines,1640,"Antwerp, Belgium",1848,"London, England",1969,"Antwerp, Belgium",,
,Rubens,The Reconciliation of the Romans and Sabines,1640,"Antwerp, Belgium",1848,"London, England",1969,"Antwerp, Belgium",,
,Bonington,"View in Venice, with San Giorgio Maggiore",1826,"Venice, Italy",1843,"London, England",1983,"San Marino, CA",,
,James Northcote,Romeo and Juliet Act V Scene 3,1790,"London, England",1805,"London, England",2009,"Washington, D.C.",,
,Adriaen van de Velde,"A Horseman at a Ford, Asking the Way of a Herdswoman, in an Italianate Landscape",1659,"Amsterdam, Netherlands",1795,"London, England",1814,"London, England",,
,Adriaen van de Velde,A Woodland Glade with Animals and Figures,1664,"Amsterdam, Netherlands",1798,"London, England",1814,"London, England",,
,Adriaen van de Velde,Figures on the Coast at Scheveningen,1660,"Amsterdam, Netherlands",1802,"London, England",1814,"London, England",,
,Adriaen van de Velde,A Woman Milking a Goat outside a Barn,1666,"Amsterdam, Netherlands",1805,"London, England",1814,"London, England",,
,Adriaen van de Velde,Cattle and Sheep Resting under Trees: a Shepherdess Asleep,1668,"Amsterdam, Netherlands",1805,"London, England",1814,"London, England",,
,Adriaen van der Werff,A Boy and a Girl with a Guinea-Pig and a Kitten,1722,"Rotterdam, Netherlands",1807,"London, England",1814,"London, England",,
,Adriaen van der Werff,Cimon and Pero,1708,"Rotterdam, Netherlands",1808,"London, England",1814,"London, England",,
,Adriaen van Ostade,Interior of a Tavern with a Five Peasants and a Woman,1646,"Haarlem, Netherlands",1800,"London, England",1814,"London, England",,
,Adriaen van Ostade,"An Evening Scene in a Tavern, with a Fiddler",1655,"Haarlem, Netherlands",1806,"London, England",1814,"London, England",,
,Adriaen van Ostade,Peasants in a Tavern,1665,"Haarlem, Netherlands",1804,"London, England",1814,"London, England",,
,Adriaen van Ostade,An elderly Couple in an Arbour,1675,"Haarlem, Netherlands",1803,"London, England",1814,"London, England",,
,Adriaen van Ostade,Interior of a Peasant's Cottage: a Child about to be Fed,1651,"Haarlem, Netherlands",1804,"London, England",1814,"London, England",,
,Adriaen van Ostade,"Three Peasants in a Tavern, round a Fire",1667,"Haarlem, Netherlands",1808,"London, England",1814,"London, England",,
,Aelbert Cuyp,Two Cavalry Troopers Talking to a Peasant,1655,"Dordrecht, Netherlands",1807,"London, England",1814,"London, England",,
,Aelbert Cuyp,The Passage Boat,1655,"Dordrecht, Netherlands",1805,"London, England",1814,"London, England",,
,Aelbert Cuyp,Cows in a Pasture beside a River before the Ruins of the Abbey of Rijnsburg,1649,"Dordrecht, Netherlands",1799,"London, England",1814,"London, England",,
,Aelbert Cuyp,An Evening Landscape with Figures and Sheep,1659,"Dordrecht, Netherlands",1803,"London, England",1814,"London, England",,
,After Frans van Mieris the Elder,A Man Pulling a Lapdog's Ear in a Woman's Lap,1660,"Leiden, Netherlands",1805,"London, England",1814,"London, England",,
,Attributed to Jan van Boeckhorst,A Young Man with a Falcon,1630,"Antwerp, Belgium",1808,"London, England",1814,"London, England",,
,Cornelis van Poelenburgh,Shepherds with their Flocks in a Landscape with Roman Ruins,1625,"Utrecht, Netherlands",1804,"London, England",1814,"London, England",,
,Cornelius Saftleven,Two Pigs,1657,"Rotterdam, Netherlands",1805,"London, England",1814,"London, England",,
,David Teniers the Younger,"A Feast at Harvest-Time, with the House of Drij Toren in the Background",1669,"Brussels, Belgium ",1807,"London, England",1814,"London, England",,
,David Teniers the Younger,The Card-Players,1645,"Brussels, Belgium ",1801,"London, England",1814,"London, England",,
,David Teniers the Younger,Peasants Dancing outside a Country House,1645,"Brussels, Belgium ",1803,"London, England",1814,"London, England",,
,David Teniers the Younger,The Interior of a Kitchen with an Old Woman Peeling Turnips,1644,"Brussels, Belgium ",1806,"London, England",1814,"London, England",,
,David Teniers the Younger,Figures on a Rocky Pass,1659,"Brussels, Belgium ",1808,"London, England",1814,"London, England",,
,David Teniers the Younger,Figures in a Rocky Landscape,1659,"Brussels, Belgium ",1804,"London, England",1814,"London, England",,
,Frans van Mieris the Elder,A Girl selling Grapes to an old Woman,1660,"Leiden, Netherlands",1803,"London, England",1814,"London, England",,
,Gabriel Metsu,The Cello Player,1659,"Amsterdam, Netherlands",1808,"London, England",1814,"London, England",,
,Gabriel Metsu,A Self-Portrait,1662,"Amsterdam, Netherlands",1804,"London, England",1814,"London, England",,
,Gerard ter Borch,The Letter,1670,Netherlands,1804,"London, England",1814,"London, England",,
,Gerrit Dou,A Maidservant Scouring a Brass Pan at a Window,1663,"Leiden, Netherlands",1802,"London, England",1814,"London, England",,
,Gerrit Dou,A Girl with a Bunch of Grapes at a Window,1665,"Leiden, Netherlands",1806,"London, England",1814,"London, England",,
,Gerrit Dou,A Girl chopping Onions,1646,"Leiden, Netherlands",1806,"London, England",1814,"London, England",,
,Hendrick Pot,"Charles I, Henrietta Maria and Charles, Prince of Wales (later Charles II)",1632,"Amsterdam, Netherlands",1807,"London, England",1814,"London, England",,
,Isack van Ostade,Travellers outside an Inn,1647,"Haarlem, Netherlands",1807,"London, England",1814,"London, England",,
,Jan Steen,Merrymaking in a Tavern with a Couple dancing,1675,"Leiden, Netherlands",1805,"London, England",1814,"London, England",,
,Jan Steen,A Twelfth Night Feast: 'The King drinks',1670,"Leiden, Netherlands",1805,"London, England",1814,"London, England",,
,Jan van der  Heyden,A Country House on the Vliet near Delft,1665,"Amsterdam, Netherlands",1805,"London, England",1814,"London, England",,
,Jan Weenix,Dead Hare and Partridges with Instruments of the Chase,1704,"Utrecht, Netherlands",1804,"London, England",1814,"London, England",,
,Karel du Jardin,A Boy Loading an Ass in an Italian Village Street,1665,"Rome, Italy",1806,"London, England",1814,"London, England",,
,Karel du Jardin,"A Herdsman with an Ox, an Ass and Sheep in the Campagna",1664,"Rome, Italy",1806,"London, England",1814,"London, England",,
,Karel du Jardin,A Shepherd Boy Asleep with a Cow and its Calf,1665,"Rome, Italy",1806,"London, England",1814,"London, England",,
,Karel du Jardin,Two Bullocks with a Boy Cutting a Twig,1665,"Rome, Italy",1806,"London, England",1814,"London, England",,
,Melchior de Hondecoeter,Birds and a Spaniel in a Garden,1695,"Amsterdam, Netherlands",1804,"London, England",1814,"London, England",,
,Meyndert Hobbema,A Watermill beside a Woody Lane,1668,"Amsterdam, Netherlands",1803,"London, England",1814,"London, England",,
,Meyndert Hobbema,Wooded Landscape with Travellers and Beggars on a Road,1668,"Amsterdam, Netherlands",1803,"London, England",1814,"London, England",,
,Nicolaes Berchem,A Shepherdess Carrying a Kid across a Ford,1658,"Amsterdam, Netherlands",1803,"London, England",1814,"London, England",,
,Nicolaes Berchem,Italian Landscape with Figures and Animals: a Village on a Mountain Plateau,1655,"Amsterdam, Netherlands",1808,"London, England",1814,"London, England",,
,Nicolaes Berchem,"A Mountainous Landscape with two Shepherds, a Shepherdess and Cattle",1675,"Amsterdam, Netherlands",1808,"London, England",1814,"London, England",,
,Nicolaes Berchem,A Mountainous Landscape with Herdsmen Driving Cattle down a Road,1673,"Amsterdam, Netherlands",1807,"London, England",1814,"London, England",,
,Nicolaes Berchem,Peasants with Cattle and Sheep before a Mountainous Landscape,1665,"Amsterdam, Netherlands",1806,"London, England",1814,"London, England",,
,Paulus Potter,"""The Young Thief """,1649,"Amsterdam, Netherlands",1805,"London, England",1814,"London, England",,
,Paulus Potter,A Young Bull and two Cows in a Meadow,1649,"Amsterdam, Netherlands",1805,"London, England",1814,"London, England",,
,Philips Wouwerman,The Farrier of the Camp,1655,"Haarlem, Netherlands",1803,"London, England",1814,"London, England",,
,Philips Wouwerman,Robbers Attacking a Market Cart,1660,"Haarlem, Netherlands",1806,"London, England",1814,"London, England",,
,Philips Wouwerman,A Horse Fair in front of a Town,1668,"Haarlem, Netherlands",1806,"London, England",1814,"London, England",,
,Previously attributed to Adam-Franois van der Meulen,Louis XIV with his Staff at the Defeat of the Comte de Marsin at the Canal of Bruges,1690,"Paris, France",1806,"London, England",1814,"London, England",,
,Rembrandt van Rijn,Self-Portrait in a Flat Cap,1642,"Amsterdam, Netherlands",1807,"London, England",1814,"London, England",,
,Studio of Sir Peter Paul Rubens,A Study of Horsemen in Three Positions,1615,"Antwerp, Belgium",1807,"London, England",1814,"London, England",,
,Style of Rembrandt van Rijn,The Adoration of the Magi,1669,"Amsterdam, Netherlands",1807,"London, England",1814,"London, England",,
,Style of Rembrandt van Rijn,Bearded old Man in a Fur Cloak,1640,"Amsterdam, Netherlands",1808,"London, England",1814,"London, England",,
,Willem van de Velde the Younger,Vessels off the Dutch Coast in a Moderate Breeze,1671,"Amsterdam, Netherlands",1804,"London, England",1814,"London, England",,
,Willem van de Velde the Younger,A Calm: A States Yacht under Sail close to the Shore with many other Vessels,1657,"Amsterdam, Netherlands",1805,"London, England",1814,"London, England",,
,Willem van de Velde the Younger ,"A Calm : A States Yacht, A Barge and many other Vessels under Sail",1659,"Amsterdam, Netherlands",1805,"London, England",1814,"London, England",,
,Willem van Mieris,The neglected Lute,1710,"Leiden, Netherlands",1805,"London, England",1814,"London, England",,
